SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:4sWuPniHClkInYAnzXAYUF,0.0849,0.787,148759,28.797,0.713,1,0.0,7,0.7170000000000001,-5.252000000000002,1,83,2019-09-13,10,0.401,175.041,4,0.762,1
spotify:track:3LK6wDkhbTyg8GhJidU9oC,0.355,0.396,180467,16.645,0.51,0,0.0,6,0.113,-6.274,1,71,2019-05-31,10,0.0327,113.994,4,0.299,1
spotify:track:6ztvsy3C6hPjVg9j4x1XKJ,0.095,0.757,185806,13.370999999999999,0.6729999999999999,1,0.0,1,0.338,-8.513,1,77,2019-12-06,8,0.141,92.958,3,0.574,1
spotify:track:1ToprX3cpBiXoAe5eNSk74,0.112,0.701,206361,14.891000000000002,0.396,0,0.0209,4,0.223,-10.182,0,86,2020-01-09,11,0.119,129.004,4,0.115,1
spotify:track:2eukAOMjUM4pxnOdIsUia9,0.00534,0.792,143958,1.81,0.772,1,0.0,2,0.237,-3.904,1,72,2020-01-10,4,0.27,120.047,5,0.414,1
spotify:track:6Vdyu21iT8qScU1haSjWUU,0.0163,0.76,171647,6.303,0.755,1,2.95e-06,6,0.0909,-4.735,0,72,2019-08-16,10,0.19,101.993,4,0.517,1
spotify:track:75POv7teJDINzveTwnvvtV,0.245,0.5720000000000001,210236,11.071000000000002,0.742,0,0.0,8,0.108,-4.589,0,62,2020-02-14,10,0.0347,127.19,4,0.376,1
spotify:track:6JsHgIkMYHcbNtKfsal2Mg,0.13699999999999998,0.76,233546,10.325999999999999,0.746,1,0.0,0,0.0905,-5.331,0,78,2019-11-15,11,0.227,100.011,4,0.449,1
spotify:track:0Pqix0NTfbuROfPbaZbBgp,0.0266,0.8490000000000001,180020,14.310000000000002,0.5770000000000001,1,0.0,1,0.104,-6.8020000000000005,1,69,2020-01-10,8,0.181,144.07299999999995,4,0.617,1
spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,0.8490000000000001,0.32299999999999995,194848,16.767,0.405,0,0.000544,10,0.138,-8.533,0,83,2019-11-15,9,0.0413,145.10399999999996,5,0.274,1
spotify:track:5DxXgozhkPLgrbKFY91w0c,0.0363,0.8859999999999999,192024,9.106,0.672,1,8.78e-06,1,0.101,-4.394,1,92,2019-11-21,7,0.188,91.976,4,0.526,1
spotify:track:7eOkHIcaoUhngxxypM5Ajr,0.114,0.753,162596,10.049,0.564,0,0.0273,10,0.359,-7.907999999999999,0,82,2020-01-10,6,0.252,77.342,5,0.55,1
spotify:track:1e9oZCCiX42nJl0AcqriVo,0.122,0.5479999999999999,174000,7.8820000000000014,0.816,0,0.0,0,0.335,-4.209,1,86,2019-11-17,10,0.0465,95.39,4,0.557,1
spotify:track:3cphb8kdsjElYR7r5icK3H,0.0119,0.591,158805,12.161,0.841,0,0.0,4,0.395,-4.351,0,83,2019-10-04,8,0.0304,109.034,4,0.392,1
