SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:4h1AemQVbeBefIKYeeoMpw,0.654,0.499,49280,2.0309999999999993,0.384,0,0.34600000000000003,5,0.0791,-10.975999999999999,0,0,2010-12-06,2,0.0597,141.841,1,0.64,0
spotify:track:47EaGVSbW6636g9ffrjtCJ,0.000566,0.22699999999999998,227553,19.199,0.938,0,7.329999999999999e-05,1,0.276,-8.401,0,0,2012-03-03,7,0.193,167.523,4,0.201,0
spotify:track:73E7aPEFaFez1Ge6Kk4wBQ,0.892,0.557,50811,2.046,0.879,1,0.0,7,0.37200000000000005,-14.637,1,0,2014-07-24,3,0.542,84.846,3,0.128,0
spotify:track:1Pwyv71OCKSzuSwVou4Vkg,0.39,0.341,206250,30.229000000000006,0.391,0,0.579,8,0.0866,-22.331,1,12,2013-09-21,8,0.0347,84.834,3,0.273,0
spotify:track:6AN6T4xjWo3lAjExEhWAyb,0.16699999999999998,0.7240000000000001,196547,22.129,0.8540000000000001,1,0.0,2,0.12300000000000001,-2.985,1,0,2008-08-24,8,0.314,89.895,4,0.602,0
spotify:track:5snBJoTz6wWYYgiTxtYEUg,0.0942,0.16899999999999998,260537,10.63,0.973,1,0.000102,2,0.23,-3.036,1,0,2018-07-06,10,0.29600000000000004,91.102,1,0.0788,0
spotify:track:2pJoVPLoSnFxNpvCzixq8f,0.0467,0.312,105000,18.212000000000003,0.423,0,0.657,10,0.204,-13.7,0,9,2019-04-09,6,0.0332,171.12900000000002,3,0.256,0
spotify:track:2Bf70rEhIiHJ3lprcSf4PE,0.503,0.302,134608,31.739000000000004,0.21,0,0.674,5,0.115,-10.969000000000001,1,1,2008-07-01,8,0.0368,161.793,4,0.14800000000000002,0
spotify:track:0vcDgMYHRJRp6UpF3A72jb,0.9209999999999999,0.165,116417,3.5969999999999995,0.222,0,0.948,4,0.107,-12.094000000000001,0,0,2018-04-06,5,0.034,75.001,4,0.0478,0
spotify:track:7cFhL3cpKtSMWZUdrwlw3l,0.9620000000000001,0.129,223975,25.18,0.0493,0,0.9329999999999999,9,0.133,-28.962,1,0,2019-02-08,13,0.0418,174.18200000000002,4,0.0283,0
spotify:track:1A5drQUwAdtYJPpJUeJvxa,0.000755,0.581,412800,5.534000000000002,0.716,0,0.883,1,0.5670000000000001,-7.303,1,0,2012-07-07,21,0.0694,150.018,4,0.21100000000000002,0
spotify:track:0xbJbGieHlVaaNpsZTZjHr,0.0122,0.56,35350,7.2620000000000005,0.5379999999999999,0,0.401,11,0.155,-8.777000000000001,0,12,2016-08-18,2,0.0938,116.71799999999999,4,0.75,0
spotify:track:2DbM68RN2kyfFwD7qmpgTx,0.9329999999999999,0.0633,233627,19.691000000000006,0.06,0,0.929,7,0.11,-21.296,1,3,2015-03-22,10,0.0431,50.092,3,0.0353,0
spotify:track:10iFMRrhWgCldsMh48EQgd,0.723,0.583,146667,6.271000000000001,0.301,0,5.3e-06,8,0.0884,-11.648,1,0,2011-10-30,5,0.0371,165.08900000000003,3,0.547,0
spotify:track:0oSCEHwLSDX4emVsBwjztc,0.698,0.105,123707,10.682,0.387,0,0.182,2,0.11699999999999999,-3.51,0,0,2012-10-31,5,0.0367,87.177,4,0.0399,0
spotify:track:7b7xBAyF8SFAkUnY8jlV5o,0.92,0.132,319547,29.465999999999994,0.129,0,0.713,2,0.105,-18.317,0,1,2014-06-10,14,0.0401,68.331,4,0.0392,0
spotify:track:2sMgtatKx0whBqkjdPRGOC,0.9229999999999999,0.11699999999999999,322138,19.429,0.289,0,0.9620000000000001,5,0.496,-14.427999999999999,1,0,2015-01-05,14,0.0331,94.71600000000001,4,0.0741,0
spotify:track:41MeMloYCBVAyvIt1rT7lx,0.748,0.647,67533,7.523999999999999,0.363,0,0.9329999999999999,9,0.11800000000000001,-12.8,0,0,2018-12-15,4,0.0298,130.421,5,0.708,0
spotify:track:2AvA27mrkSeLOtICRClz0i,0.721,0.242,306880,31.940000000000005,0.235,0,0.8059999999999999,10,0.0332,-13.064,1,8,2009-08-11,14,0.0397,135.023,4,0.11800000000000001,0
spotify:track:6G3kU09MAR5VpR218Q6FNS,0.000178,0.428,223500,7.869,0.9179999999999999,1,0.442,9,0.0658,-7.152,1,0,2016-08-20,8,0.131,179.959,4,0.41,0
spotify:track:7s7YwHBgK46CC6ApdU9rjk,0.853,0.473,433413,42.601000000000006,0.245,0,0.929,2,0.11900000000000001,-12.98,0,0,2005-03-31,16,0.0366,143.314,3,0.285,0
